cell,stimul,frame,time,mask,int,delta
cell7_01,10,69,11.8,up,1648.957,0.14209310885019868
cell7_01,10,69,11.8,down,1467.521,-0.1215844940423031
cell7_01,10,70,12.0,cell,1020.722,-0.06528359336546062
cell7_01,10,70,12.0,up,1645.004,0.13935519994215254
cell7_01,10,70,12.0,down,1460.034,-0.1260659950859714
cell7_01,10,71,12.2,cell,1018.351,-0.06745481393299073
cell7_01,10,71,12.2,up,1618.074,0.12070306564069065
cell7_01,10,71,12.2,down,1452.847,-0.13036792483097545
cell7_01,10,72,12.4,cell,1020.789,-0.06522223875642454
cell7_01,10,72,12.4,up,1635.489,0.1327649638530917
cell7_01,10,72,12.4,down,1457.429,-0.12762527252937414
cell7_01,10,73,12.6,cell,1022.694,-0.0634777532308468
cell7_01,10,73,12.6,up,1632.947,0.13100433535720163
cell7_01,10,73,12.6,down,1461.952,-0.12491793591651028
cell7_01,10,74,12.8,cell,1019.687,-0.06623138471400285
cell7_01,10,74,12.8,up,1599.613,0.10791669165854101
cell7_01,10,74,12.8,down,1464.01,-0.12368607680767235
cell7_01,10,75,13.0,cell,1019.97,-0.06597223017135795
cell7_01,10,75,13.0,up,1614.0,0.11788135026214785
cell7_01,10,75,13.0,down,1464.798,-0.12321440286318047
cell7_01,10,76,13.2,cell,1020.837,-0.06517828321562258
cell7_01,10,76,13.2,up,1612.27,0.11668312551868222
cell7_01,10,76,13.2,down,1464.692,-0.12327785138870856
cell7_01,10,77,13.4,cell,1021.442,-0.0646242602534312
cell7_01,10,77,13.4,up,1600.894,0.10880393206107246
cell7_01,10,77,13.4,down,1469.881,-0.12017186649280959
cell7_01,10,78,13.6,cell,1019.058,-0.0668073854465952
cell7_01,10,78,13.6,up,1584.284,0.09729958929288524
cell7_01,10,78,13.6,down,1459.823,-0.12619229356603207
cell7_01,10,79,13.8,cell,1021.66,-0.06442462883895567
cell7_01,10,79,13.8,up,1580.16,0.09444324314140995
cell7_01,10,79,13.8,down,1471.78,-0.11903518017226387
cell7_01,10,80,14.0,cell,1016.873,-0.0688082782935177
cell7_01,10,80,14.0,up,1589.688,0.10104248323143335
cell7_01,10,80,14.0,down,1464.933,-0.12313359577878148
cell7_01,10,81,14.2,cell,1021.65,-0.0644337862432894
cell7_01,10,81,14.2,up,1601.394,0.10915023979039779
cell7_01,10,81,14.2,down,1471.072,-0.11945896843711196
cell7_01,10,82,14.4,cell,1021.388,-0.06467371023683338
cell7_01,10,82,14.4,up,1571.862,0.08869592006552686
cell7_01,10,82,14.4,down,1478.952,-0.11474222899219311
cell7_01,10,83,14.6,cell,1014.716,-0.0707835304083058
cell7_01,10,83,14.6,up,1568.032,0.08604320285889476
cell7_01,10,83,14.6,down,1463.418,-0.12404043083703686
cell7_01,10,84,14.8,cell,1017.609,-0.06813429333455433
cell7_01,10,84,14.8,up,1561.745,0.08168872947035812
cell7_01,10,84,14.8,down,1459.3,-0.12650534619670378
cell7_01,10,85,15.0,cell,1020.043,-0.06590538111972165
cell7_01,10,85,15.0,up,1585.149,0.09789870166461791
cell7_01,10,85,15.0,down,1473.025,-0.11828995928280646
cell7_01,10,86,15.2,cell,1020.588,-0.06540630258353276
cell7_01,10,86,15.2,up,1563.099,0.08262653080137111
