cell,feature,time,int
cell26_01,5,64,0.180661893066441
cell26_01,5,65,0.176899080908838
cell26_01,5,66,0.185121646389476
cell26_01,5,67,0.169024986010917
cell26_01,5,68,0.180008510723847
cell26_01,5,69,0.175924033412968
cell26_01,5,70,0.170626610419941
cell26_01,5,71,0.18778543594005
cell26_01,5,72,0.171125861543256
cell26_01,5,73,0.169785590071269
cell26_01,5,74,0.181090779937476
cell26_01,5,75,0.170083800473786
cell26_01,5,76,0.183526723337812
cell26_01,5,77,0.164870144447758
cell26_01,5,78,0.193401173407674
cell26_01,5,79,0.187021481201017
cell26_01,5,80,0.174530151082102
cell26_01,5,81,0.189521087496272
cell26_01,5,82,0.191481234524053
cell26_01,5,83,0.174064406745586
cell26_01,5,84,0.173122866036516
cell26_01,5,85,0.177797062795069
cell26_01,5,86,0.168405110455123
cell26_01,5,87,0.17772334786411
cell26_01,5,88,0.177535709858032
cell26_01,5,89,0.167316139884134
cell26_01,5,90,0.160125583436925
cell26_01,5,91,0.174057705388226
cell26_01,5,92,0.166099843523306
cell26_01,5,93,0.165067834489876
cell26_01,5,94,0.211320602988135
cell26_01,5,95,0.186542334149782
cell26_01,5,96,0.17966004014113
cell26_01,5,97,0.161800922776908
cell26_01,5,98,0.1686765154282
cell26_01,5,99,0.16066169202572
cell26_01,5,100,0.16367395215901
cell26_01,5,101,0.177569216644831
cell26_01,5,102,0.175461639755132
cell26_01,5,103,0.173521596799432
cell26_01,5,104,0.171775893207169
cell26_01,5,105,0.174607216691741
cell26_01,5,106,0.155066058630176
cell26_01,5,107,0.157304311988393
cell26_01,5,108,0.155836714726568
cell26_01,5,109,0.148904160537717
cell26_01,5,110,0.147155106266774
cell26_01,5,111,0.143187902709694
cell26_01,5,112,0.129929267173066
cell26_01,5,113,0.133249789744913
cell26_01,5,114,0.144206509028404
cell26_01,5,115,0.143442554289371
cell26_01,5,116,0.130626208338499
cell26_01,5,117,0.149175565510794
cell26_01,5,118,0.12948362690863
cell14_01,50,1,0.007061829451496
cell14_01,50,2,-0.004030261603689
cell14_01,50,3,-0.015984169605575
cell14_01,50,4,4.36158290425552
cell14_01,50,5,3.64514602727735
cell14_01,50,6,3.28631586773983
cell14_01,50,7,2.94898719610391
cell14_01,50,8,2.72427941119314
cell14_01,50,9,2.4945088741798
cell14_01,50,10,2.3044258524806
cell14_01,50,11,2.15087035062431
cell14_01,50,12,2.02523771784113
cell14_01,50,13,1.90884173492201
cell14_01,50,14,1.78958316787011
cell14_01,50,15,1.69359027870484
cell14_01,50,16,1.61348861810187
cell14_01,50,17,1.52664112759453
cell14_01,50,18,1.43034406774219
cell14_01,50,19,1.36442014083103
cell14_01,50,20,1.30844935473568
cell14_01,50,21,1.23034846131878
cell14_01,50,22,1.18454711519451
cell14_01,50,23,1.13665713035235
cell14_01,50,24,1.08742879448708
cell14_01,50,25,1.04363835457177
cell14_01,50,26,1.01851723549402
cell14_01,50,27,0.98348015201775
cell14_01,50,28,0.963002705429278
