cell,stimul,frame,time,mask,int,delta,rel
cell8_01_27,10,79,13.8,cell,1131.431,-0.1727332330803757,1131.431
cell8_01_27,10,79,13.8,up,780.328,0.036506073099282325,0.6896823580050396
cell8_01_27,10,79,13.8,down,641.851,-0.22435449379436231,0.5672913328342604
cell8_01_27,10,80,14.0,cell,1003.486,-0.2662825935747685,1003.486
cell8_01_27,10,80,14.0,up,744.312,-0.011333813113622655,0.741726341971886
cell8_01_27,10,80,14.0,down,578.627,-0.30075760212378033,0.576616913439749
cell8_01_27,10,81,14.2,cell,1136.0,-0.1693925239624041,1136.0
cell8_01_27,10,81,14.2,up,810.555,0.07665645738841713,0.7135167253521126
cell8_01_27,10,81,14.2,down,619.617,-0.25122319413910926,0.5454375
cell8_01_27,10,82,14.4,cell,1067.167,-0.21972104896072794,1067.167
cell8_01_27,10,82,14.4,up,768.297,0.020525351447031714,0.7199407402965048
cell8_01_27,10,82,14.4,down,579.134,-0.30014491744829286,0.5426835724867805
cell8_01_27,10,83,14.6,cell,1121.819,-0.1797612252103699,1121.819
cell8_01_27,10,83,14.6,up,767.648,0.01966328774889268,0.6842886419288674
cell8_01_27,10,83,14.6,down,582.672,-0.29586941768128217,0.5193992970345483
cell8_01_27,10,84,14.8,cell,1005.875,-0.26453583190200985,1005.875
cell8_01_27,10,84,14.8,up,727.984,-0.03302221999068596,0.723732074064869
cell8_01_27,10,84,14.8,down,563.159,-0.3194499227558098,0.5598697651298621
cell8_01_27,10,85,15.0,cell,1132.528,-0.17193114117789926,1132.528
cell8_01_27,10,85,15.0,up,776.359,0.031234068757350485,0.6855097622310442
cell8_01_27,10,85,15.0,down,585.672,-0.29224406457188934,0.5171368831499089
cell8_01_27,10,86,15.2,cell,1104.472,-0.1924448060966588,1104.472
cell8_01_27,10,86,15.2,up,788.5,0.04736090290081112,0.7139157896261743
cell8_01_27,10,86,15.2,down,609.91,-0.2629536283500681,0.5522186166783766
