cell,stimul,frame,time,mask,int,delta,rel
cell8_02_22,20,66,46.0,cell,459.71,-0.07261917754387225,459.71
cell8_02_22,20,66,46.0,up,490.187,0.011462096712124583,1.066296143220726
cell8_02_22,20,66,46.0,down,438.021,-0.11586551707781317,0.9528202562485045
cell8_02_22,20,67,47.0,cell,458.36,-0.0753425555654853,458.36
cell8_02_22,20,67,47.0,up,481.272,-0.006933300538697269,1.0499869098525176
cell8_02_22,20,67,47.0,down,436.577,-0.11878019512598816,0.9524762195654071
cell8_02_22,20,68,48.0,cell,457.349,-0.07738206310611563,457.349
cell8_02_22,20,68,48.0,up,481.327,-0.006819812389645634,1.0524282331436168
cell8_02_22,20,68,48.0,down,435.417,-0.12112162624502071,0.9520453745389188
cell8_02_22,20,69,49.0,cell,462.707,-0.06657327833589106,462.707
cell8_02_22,20,69,49.0,up,488.043,0.007038122320003208,1.0547560335158102
cell8_02_22,20,69,49.0,down,442.805,-0.10620913218690672,0.956987899469859
cell8_02_22,20,70,50.0,cell,457.488,-0.07710165603574211,457.488
cell8_02_22,20,70,50.0,up,485.603,0.0020033753438949437,1.0614551638512923
cell8_02_22,20,70,50.0,down,436.564,-0.1188064353023221,0.9542632812226769
cell8_02_22,20,71,51.0,cell,459.55,-0.07294194827235967,459.55
cell8_02_22,20,71,51.0,up,487.377,0.005663884006032679,1.0605527146121205
cell8_02_22,20,71,51.0,down,435.589,-0.12077444852737101,0.9478598629093679
cell8_02_22,20,72,52.0,cell,458.9,-0.07425320435684013,458.9
cell8_02_22,20,72,52.0,up,501.346,0.034487810444252504,1.0924950969710177
cell8_02_22,20,72,52.0,down,437.317,-0.1172865235500536,0.9529679668773153
cell8_02_22,20,73,53.0,cell,458.755,-0.07454571532953187,458.755
cell8_02_22,20,73,53.0,up,482.84,-0.0036978565802801857,1.0525007901821233
cell8_02_22,20,73,53.0,down,439.604,-0.11267027099037491,0.9582544059465292
cell8_02_22,20,74,54.0,cell,459.476,-0.07309122973428515,459.476
cell8_02_22,20,74,54.0,up,480.016,-0.00952495717885786,1.0447030965708763
cell8_02_22,20,74,54.0,down,439.417,-0.1130477258345638,0.9563437480956567
cell8_02_22,20,75,55.0,cell,458.884,-0.0742854814296888,458.884
cell8_02_22,20,75,55.0,up,488.467,0.007913012778146567,1.0644672727748188
cell8_02_22,20,75,55.0,down,437.698,-0.11651748453595764,0.9538314693909571
cell8_02_22,20,76,56.0,cell,455.578,-0.08095473160706149,455.578
cell8_02_22,20,76,56.0,up,469.712,-0.03078644604845612,1.0310243251430051
cell8_02_22,20,76,56.0,down,434.91,-0.12214499312204602,0.9546334546444298
cell8_02_22,20,77,57.0,cell,457.452,-0.0771742794496518,457.452
cell8_02_22,20,77,57.0,up,483.786,-0.0017458604165922532,1.0575666955221532
cell8_02_22,20,77,57.0,down,435.8,-0.12034855028071939,0.9526682580904664
cell8_02_22,20,78,58.0,cell,459.644,-0.07275232046937329,459.644
cell8_02_22,20,78,58.0,up,486.113,0.003055719998737227,1.0575858708043617
cell8_02_22,20,78,58.0,down,438.701,-0.11449295400803548,0.9544364769256207
cell8_02_22,20,79,59.0,cell,458.569,-0.07492093630139852,458.569
cell8_02_22,20,79,59.0,up,472.735,-0.02454872469240062,1.0308917523862275
cell8_02_22,20,79,59.0,down,439.699,-0.1124785158556265,0.9588502493626914
cell8_02_22,20,80,60.0,cell,461.577,-0.0688528466058339,461.577
cell8_02_22,20,80,60.0,up,490.642,0.012400953217915232,1.062968908762785
cell8_02_22,20,80,60.0,down,441.139,-0.10957191170786203,0.9557213639327783
cell8_02_22,20,81,61.0,cell,460.885,-0.07024883000654228,460.885
cell8_02_22,20,81,61.0,up,490.525,0.012159532973569018,1.0643110537335778
