ID,date,cell,rep,power,stimul,frame,time,mask,int,delta,rel
cell4_01_17_03,17_03,cell4_17_03,1,10,20,32,12.0,down,585.288,-0.05292698164893117,-0.02825877162867609
cell4_01_17_03,17_03,cell4_17_03,1,10,20,33,13.0,cell,600.514,-0.03235968374287749,600.514
cell4_01_17_03,17_03,cell4_17_03,1,10,20,33,13.0,up,464.125,0.001710434730997757,0.035192744186368995
cell4_01_17_03,17_03,cell4_17_03,1,10,20,33,13.0,down,589.226,-0.04655477933781852,-0.01467486570391756
cell4_01_17_03,17_03,cell4_17_03,1,10,20,34,14.0,cell,604.725,-0.025574274290710252,604.725
cell4_01_17_03,17_03,cell4_17_03,1,10,20,34,14.0,up,467.265,0.00848742533709594,0.03493892737836653
cell4_01_17_03,17_03,cell4_17_03,1,10,20,34,14.0,down,596.515,-0.03476021797527405,-0.009432119970649909
cell4_01_17_03,17_03,cell4_17_03,1,10,20,35,15.0,cell,599.728,-0.03362620756843052,599.728
cell4_01_17_03,17_03,cell4_17_03,1,10,20,35,15.0,up,470.842,0.01620758310716387,0.05155081423807532
cell4_01_17_03,17_03,cell4_17_03,1,10,20,35,15.0,down,593.534,-0.03958386832809955,-0.006170068661788823
cell4_01_17_03,17_03,cell4_17_03,1,10,20,36,16.0,cell,601.396,-0.03093846998443267,601.396
cell4_01_17_03,17_03,cell4_17_03,1,10,20,36,16.0,up,458.559,-0.01030253651535335,0.02127824369570415
cell4_01_17_03,17_03,cell4_17_03,1,10,20,36,16.0,down,592.265,-0.04163727735115745,-0.011045458294636453
cell4_01_17_03,17_03,cell4_17_03,1,10,20,37,17.0,cell,605.773,-0.023885575856639665,605.773
cell4_01_17_03,17_03,cell4_17_03,1,10,20,37,17.0,up,475.036,0.025259397948557506,0.05033056717571062
cell4_01_17_03,17_03,cell4_17_03,1,10,20,37,17.0,down,594.543,-0.03795117352568392,-0.0144148448150761
cell4_01_17_03,17_03,cell4_17_03,1,10,20,38,18.0,cell,607.321,-0.02139120068875677,607.321
cell4_01_17_03,17_03,cell4_17_03,1,10,20,38,18.0,up,483.011,0.04247165912168916,0.06524159631205631
cell4_01_17_03,17_03,cell4_17_03,1,10,20,38,18.0,down,586.686,-0.050664833647169956,-0.02991850059906765
cell4_01_17_03,17_03,cell4_17_03,1,10,20,39,19.0,cell,602.509,-0.02914503357496639,602.509
cell4_01_17_03,17_03,cell4_17_03,1,10,20,39,19.0,up,473.147,0.021182412198583113,0.05182126294825945
cell4_01_17_03,17_03,cell4_17_03,1,10,20,39,19.0,down,589.885,-0.04548843060165215,-0.016839073974753524
cell4_01_17_03,17_03,cell4_17_03,1,10,20,40,20.0,cell,600.878,-0.03177315108066208,600.878
cell4_01_17_03,17_03,cell4_17_03,1,10,20,40,20.0,up,459.405,-0.008476633950780507,0.024044449447792427
cell4_01_17_03,17_03,cell4_17_03,1,10,20,40,20.0,down,588.995,-0.046928567741543,-0.01565780876058769
cell4_01_17_03,17_03,cell4_17_03,1,10,20,41,21.0,cell,603.55,-0.027467614615169274,603.55
cell4_01_17_03,17_03,cell4_17_03,1,10,20,41,21.0,up,455.082,-0.01780686655911249,0.00991726701236875
cell4_01_17_03,17_03,cell4_17_03,1,10,20,41,21.0,down,592.097,-0.04190912346295709,-0.01485444496955877
cell4_01_17_03,17_03,cell4_17_03,1,10,20,42,22.0,cell,590.499,-0.048497388721137895,590.499
cell4_01_17_03,17_03,cell4_17_03,1,10,20,42,22.0,up,463.237,-0.00020611547862487225,0.050735650440300914
cell4_01_17_03,17_03,cell4_17_03,1,10,20,42,22.0,down,586.476,-0.05100464128691955,-0.0026401670169575136
cell4_01_17_03,17_03,cell4_17_03,1,10,20,43,23.0,cell,599.103,-0.034633303485695904,599.103
cell4_01_17_03,17_03,cell4_17_03,1,10,20,43,23.0,up,459.799,-0.007626272709123585,0.027959304494706603
cell4_01_17_03,17_03,cell4_17_03,1,10,20,43,23.0,down,589.615,-0.045925326138472944,-0.011702208105728326
cell4_01_17_03,17_03,cell4_17_03,1,10,20,44,24.0,cell,598.622,-0.03540836450362333,598.622
cell4_01_17_03,17_03,cell4_17_03,1,10,20,44,24.0,up,458.774,-0.009838506903789354,0.026491878093881156
cell4_01_17_03,17_03,cell4_17_03,1,10,20,44,24.0,down,591.388,-0.043056378780016134,-0.007933853099542372
cell4_01_17_03,17_03,cell4_17_03,1,10,20,45,25.0,cell,603.213,-0.028010640733758748,603.213
cell4_01_17_03,17_03,cell4_17_03,1,10,20,45,25.0,up,468.878,0.011968726562457855,0.04111464868578126
cell4_01_17_03,17_03,cell4_17_03,1,10,20,45,25.0,down,587.999,-0.04854022683292646,-0.021126231273666356
cell4_01_17_03,17_03,cell4_17_03,1,10,20,46,26.0,cell,602.786,-0.02869868866443449,602.786
cell4_01_17_03,17_03,cell4_17_03,1,10,20,46,26.0,up,464.427,0.00236223446445056,0.03196197911584931
cell4_01_17_03,17_03,cell4_17_03,1,10,20,46,26.0,down,593.722,-0.03927965958394285,-0.01089868226338611
cell4_01_17_03,17_03,cell4_17_03,1,10,20,47,27.0,cell,597.977,-0.03644768749024117,597.977
cell4_01_17_03,17_03,cell4_17_03,1,10,20,47,27.0,up,467.054,0.008032028834584218,0.0461453033228307
cell4_01_17_03,17_03,cell4_17_03,1,10,20,47,27.0,down,586.235,-0.051394611006822556,-0.015517366898476503
cell4_01_17_03,17_03,cell4_17_03,1,10,20,48,28.0,cell,596.796,-0.03835069593550571,596.796
cell4_01_17_03,17_03,cell4_17_03,1,10,20,48,28.0,up,462.47,-0.0018615141394138217,0.037927588623588034
cell4_01_17_03,17_03,cell4_17_03,1,10,20,48,28.0,down,585.96,-0.051839597201732625,-0.014031903487712315
cell4_01_17_03,17_03,cell4_17_03,1,10,20,49,29.0,cell,596.89,-0.038199228709549095,596.89
cell4_01_17_03,17_03,cell4_17_03,1,10,20,49,29.0,up,462.828,-0.0010888508792282158,0.038567470364084436
cell4_01_17_03,17_03,cell4_17_03,1,10,20,49,29.0,down,586.773,-0.050524056196416596,-0.012819394169618806
cell4_01_17_03,17_03,cell4_17_03,1,10,20,50,30.0,cell,597.353,-0.03745317205403896,597.353
cell4_01_17_03,17_03,cell4_17_03,1,10,20,50,30.0,up,456.358,-0.015052904771411411,0.02325532367021106
cell4_01_17_03,17_03,cell4_17_03,1,10,20,50,30.0,down,590.08,-0.045172894936170355,-0.008025195086502417
cell4_01_17_03,17_03,cell4_17_03,1,10,20,51,31.0,cell,601.981,-0.029995828205872217,601.981
cell4_01_17_03,17_03,cell4_17_03,1,10,20,51,31.0,up,462.667,-0.0014363335185854837,0.029426002536464626
cell4_01_17_03,17_03,cell4_17_03,1,10,20,51,31.0,down,591.971,-0.04211300804680677,-0.012496955269334385
cell4_01_17_03,17_03,cell4_17_03,1,10,20,52,32.0,cell,595.816,-0.03992982233377785,595.816
cell4_01_17_03,17_03,cell4_17_03,1,10,20,52,32.0,up,460.459,-0.006201809715485054,0.03511403750000097
cell4_01_17_03,17_03,cell4_17_03,1,10,20,52,32.0,down,588.78,-0.047276466039381855,-0.007657290338217466
cell4_01_17_03,17_03,cell4_17_03,1,10,20,53,33.0,cell,599.694,-0.03368099358632975,599.694
cell4_01_17_03,17_03,cell4_17_03,1,10,20,53,33.0,up,457.158,-0.013326282960940504,0.021047659536090807
cell4_01_17_03,17_03,cell4_17_03,1,10,20,53,33.0,down,590.307,-0.04480557905891733,-0.011517408306133218
cell4_01_17_03,17_03,cell4_17_03,1,10,20,54,34.0,cell,600.694,-0.03206964011870514,600.694
cell4_01_17_03,17_03,cell4_17_03,1,10,20,54,34.0,up,472.057,0.01882988998181659,0.052568919193294976
cell4_01_17_03,17_03,cell4_17_03,1,10,20,54,34.0,down,585.3,-0.052907564069517,-0.021533354348567665
cell4_01_17_03,17_03,cell4_17_03,1,10,20,55,35.0,cell,602.128,-0.02975895924613132,602.128
cell4_01_17_03,17_03,cell4_17_03,1,10,20,55,35.0,up,471.968,0.018637803305401705,0.049864194977071535
cell4_01_17_03,17_03,cell4_17_03,1,10,20,55,35.0,down,590.014,-0.04527969162294883,-0.01600183291397875
cell4_01_17_03,17_03,cell4_17_03,1,10,20,56,36.0,cell,600.126,-0.03298488888831589,600.126
cell4_01_17_03,17_03,cell4_17_03,1,10,20,56,36.0,up,473.692,0.022358673306966434,0.057214233017051266
cell4_01_17_03,17_03,cell4_17_03,1,10,20,56,36.0,down,596.876,-0.03417607246122844,-0.0012369436854334783
cell4_01_17_03,17_03,cell4_17_03,1,10,20,57,37.0,cell,595.49,-0.04045512356422351,595.49
cell4_01_17_03,17_03,cell4_17_03,1,10,20,57,37.0,up,451.398,-0.025757959996330838,0.015300386471795609
cell4_01_17_03,17_03,cell4_17_03,1,10,20,57,37.0,down,590.165,-0.045035353748652814,-0.004778446735900578
cell4_01_17_03,17_03,cell4_17_03,1,10,20,58,38.0,cell,596.199,-0.03931267395567775,596.199
cell4_01_17_03,17_03,cell4_17_03,1,10,20,58,38.0,up,468.799,0.01179822265867384,0.053185393127414715
cell4_01_17_03,17_03,cell4_17_03,1,10,20,58,38.0,down,585.129,-0.053184264576170086,-0.014444296595413644
cell4_01_17_03,17_03,cell4_17_03,1,10,20,59,39.0,cell,596.512,-0.03880832032031127,596.512
cell4_01_17_03,17_03,cell4_17_03,1,10,20,59,39.0,up,478.434,0.03259322408853263,0.07426702300961889
cell4_01_17_03,17_03,cell4_17_03,1,10,20,59,39.0,down,586.861,-0.05038166061404541,-0.012045689723162322
cell4_01_17_03,17_03,cell4_17_03,1,10,20,60,40.0,cell,592.099,-0.045919223172938485,592.099
cell4_01_17_03,17_03,cell4_17_03,1,10,20,60,40.0,up,466.864,0.007621956154597388,0.05610099759149798
cell4_01_17_03,17_03,cell4_17_03,1,10,20,60,40.0,down,574.955,-0.06964713565622598,-0.024874927335867728
cell4_01_17_03,17_03,cell4_17_03,1,10,20,61,41.0,cell,600.568,-0.0322726706556258,600.568
cell4_01_17_03,17_03,cell4_17_03,1,10,20,61,41.0,up,467.925,0.009911888330734472,0.04357449119049174
cell4_01_17_03,17_03,cell4_17_03,1,10,20,61,41.0,down,588.881,-0.04711303474597851,-0.015340330761875557
cell4_01_17_03,17_03,cell4_17_03,1,10,20,62,42.0,cell,600.159,-0.03293171422388425,600.159
cell4_01_17_03,17_03,cell4_17_03,1,10,20,62,42.0,up,466.054,0.005873751571495615,0.04011009219764316
cell4_01_17_03,17_03,cell4_17_03,1,10,20,62,42.0,down,590.355,-0.04472790874126029,-0.012202964535240102
cell4_01_17_03,17_03,cell4_17_03,1,10,20,63,43.0,cell,600.395,-0.03255143480552486,600.395
cell4_01_17_03,17_03,cell4_17_03,1,10,20,63,43.0,up,479.918,0.03579610754695607,0.07062989516353559
cell4_01_17_03,17_03,cell4_17_03,1,10,20,63,43.0,down,584.837,-0.05365675900858377,-0.021820471484007606
