"","power","mean_yfp","mean_fluo"
"200","20",0.0933401483455987,0.329662508310368
"201","50",0.076172447312019,0.455334950737103
"202","75",0.0821605407914471,NA
"203","100",0.142764485092472,0.6547937317009
"204","20",0.0941854839767514,0.327533222903067
"205","50",0.0814569382334837,0.444347510459445
"206","75",0.0731165003683421,NA
"207","100",0.139778519030959,0.626944030736899
"208","20",0.095114582067581,0.308954006154839
"209","50",0.077414479699915,0.437495000813781
"210","75",0.0739139979154476,NA
"211","100",0.16015856613901,0.651020269423294
"212","20",0.0915875889790072,0.312621278753145
"213","50",0.0825236222712975,0.439225603326879
"214","75",0.080364200311449,NA
"215","100",0.147168139648298,0.626727926761409
"216","20",0.113867264683667,0.313436289096039
"217","50",0.0922743607081916,0.43132526460162
"218","75",0.0737261799371431,NA
"219","100",0.143091223099513,0.618494470878834
"220","20",0.110124873792779,0.299438436772396
"221","50",0.0751516555023618,0.420327280217253
"222","75",0.0713852038024186,NA
"223","100",0.142508786074142,0.613859882367238
"224","20",0.0923212700310941,0.296994116546832
"225","50",0.0702270778303871,0.417753408685207
"226","75",0.0728855417606359,NA
"227","100",0.134845075759395,0.603128061931162
"228","20",0.117066530157773,0.286324798950672
"229","50",0.0916041541829283,0.420409714271311
"230","75",0.0852515587879905,NA
"231","100",0.144923389093387,0.595564507275769
"232","20",0.110327143241198,0.289328133486681
"233","50",0.0730292785144416,0.408433975533319
"234","75",0.0745187448167037,NA
"235","100",0.131016253446805,0.585886529584185
"236","20",0.0821933287194419,0.284963596258775
"237","50",0.0699407379995726,0.413480766247966
"238","75",0.096953229976568,NA
"239","100",0.146068021560224,0.536168630035021
"240","20",0.0930050450475979,0.26925443004738
"241","50",0.0757160621719156,0.404072406064283
"242","75",0.0726065100125683,NA
"243","100",0.132802929887649,0.564660176941213
"244","20",0.10705118690053,0.27760468854329
"245","50",0.0651927120544391,0.409485696881486
"246","75",0.0800359412922733,NA
"247","100",0.142330213165838,0.555720806915262
"248","20",0.101352585887773,0.271128873913732
"249","50",0.0716235557979855,0.411201995701739
"250","75",0.0647979278195284,NA
"251","100",0.133807270181474,0.537599222591122
"252","20",0.107611420705013,0.272617222563896
"253","50",0.0703616405975481,0.396226523754194
"254","75",0.0731205613922886,NA
"255","100",0.133104835952314,0.542252759542873
"256","20",0.0817372160746639,0.264346582734548
"257","50",0.0814083768705858,0.397851206574041
"258","75",0.0900700116939235,NA
"259","100",0.123510912360597,0.521131758755916
"260","20",0.0926332637136783,0.24343625929294
"261","50",0.0730595042096297,0.398269269188207
"262","75",0.081379449578568,NA
"263","100",0.134847857437196,0.556685173093893
"264","20",0.0900589271080879,0.264865067982125
"265","50",0.0831336840183058,0.389823617139815
"266","75",0.0739382599731698,NA
"267","100",0.132028793499676,0.522728324854078
"268","20",0.0819904552909626,0.249591295429125
"269","50",0.0791795223600997,0.390789806898052
"270","75",0.0896250009893193,NA
"271","100",0.139423510530666,0.514866678249508
"272","20",0.0829892540012127,0.258272320450621
"273","50",0.0874781464462474,0.382853885156791
"274","75",0.0751388880471598,NA
"275","100",0.139205802640486,0.536597671298961
"276","20",0.0968571605755695,0.247956552627408
"277","50",0.082485570281087,0.375913232077438
"278","75",0.0757876320060548,NA
"279","100",0.139771936487084,0.536455979089928
"280","20",0.0691225571260098,0.248610490146399
"281","50",0.0796081894971598,0.378658549020644
"282","75",0.0735996962381477,NA
"283","100",0.142356507027443,0.532641922594846
"284","20",0.0625335287088262,0.251470591180278
"285","50",0.0716425049371328,0.376478679761936
"286","75",0.0621097141899355,NA
"287","100",0.153526733596253,0.507051689654603
"288","20",0.0591479146511085,0.224267764250752
"289","50",0.0788387217148743,0.370368969397604
"290","75",0.0652054770639409,NA
"291","100",0.130257773749671,0.498380676819788
"292","20",0.0542541193314555,0.230899319885405
"293","50",0.0753452433031887,0.366241642024075
"294","75",0.0729048869843971,NA
"295","100",0.146410416260027,0.510674511337942
"296","20",0.0840677448605332,0.229842348795471
"297","50",0.0724211755824503,0.367022216553719
"298","75",0.0527846966803892,NA
"299","100",0.137848654287699,0.492317760251588
"300","20",0.0703565446890389,0.21701224639076
"301","50",0.0894145796342494,0.362121095548095
"302","75",0.0828472370897414,NA
"303","100",0.133104801830538,0.510377382937681
"304","20",0.0280162180625501,0.222213231475375
"305","50",0.0788323757242667,0.369222748142291
"306","75",0.0763581450639647,NA
"307","100",0.131817636682331,0.486810604240264
"308","20",0.0724668462623742,0.213213325526856
"309","50",0.0797148951670048,0.364576861290099
"310","75",0.0751037478587194,NA
"311","100",0.134190753643391,0.501133296751147
"312","20",0.0734021338820957,0.224045416483519
"313","50",0.090201545980756,0.356518206314426
"314","75",0.070602257311722,NA
